RecordDate,Max. CovidPositives
12/11/2022,11645531
12/12/2020,1610803
12/12/2021,5160820
12/12/2022,11654265
12/13/2020,1641382
12/13/2021,5167097
12/13/2022,11692081
12/14/2020,1674742
12/14/2021,5173473
12/14/2022,11696982
12/15/2020,1729978
12/15/2021,5179513
12/15/2022,11711281
12/16/2020,1786100
12/16/2021,5187589
12/16/2022,11716143
12/17/2020,1830533
12/17/2021,5192534
12/17/2022,11716534
12/18/2020,1876103
12/18/2021,5196492
12/18/2022,11716948
12/19/2020,1921351
12/19/2021,5213302
12/19/2022,11724596
12/2/2020,1303452
12/2/2021,5094834
12/2/2022,11561618
12/20/2020,1958292
12/20/2021,5223866
12/20/2022,11750909
12/21/2020,1995695
12/21/2021,5235756
12/21/2022,11755565
12/22/2020,2035315
12/22/2021,5251605
12/22/2022,11769574
12/23/2020,2075986
12/23/2021,5272503
12/23/2022,11780897
12/24/2020,2120381
12/24/2021,5285563
12/24/2022,11781265
12/25/2020,2147293
12/25/2021,5286215
12/25/2022,11781489
12/26/2020,2198925
12/26/2021,5308246
12/26/2022,11782006
12/27/2020,2231986
12/27/2021,5357159
12/27/2022,11813167
12/28/2020,2269314
12/28/2021,5387002
12/28/2022,11816016
12/29/2020,2306370
12/29/2021,5426974
12/29/2022,11829163
12/3/2020,1327956
12/3/2021,5098311
12/3/2022,11562078
12/30/2020,2327256
12/30/2021,5481898
12/30/2022,11834799
12/31/2020,2384723
12/31/2021,5517998
12/31/2022,11835094
12/4/2020,1355126
12/4/2021,5100804
12/4/2022,11562556
12/5/2020,1385682
12/5/2021,5115851
12/5/2022,11573666
12/6/2020,1410546
12/6/2021,5123019
12/6/2022,11615979
12/7/2020,1436431
12/7/2021,5127819
12/7/2022,11621923
12/8/2020,1470735
12/8/2021,5136008
12/8/2022,11639163
12/9/2020,1502708
12/9/2021,5142728
12/9/2022,11644729
2/1/2020,3
2/1/2021,3396856
2/1/2022,8481528
2/1/2023,12003780
2/10/2020,6
2/10/2021,3506169
2/10/2022,8785398
2/10/2023,12035976
2/11/2020,7
2/11/2021,3517140
2/11/2022,8796222
2/11/2023,12036125
2/12/2020,7
2/12/2021,3526882
2/12/2022,8801252
2/12/2023,12036268
2/13/2020,8
2/13/2021,3537187
2/13/2022,8830604
2/13/2023,12036521
2/14/2020,8
2/14/2021,3543968
2/14/2022,8844172
2/14/2023,12049529
2/15/2020,8
2/15/2021,3549753
2/15/2022,8855149
2/15/2023,12049792
2/16/2020,8
2/16/2021,3554871
2/16/2022,8871583
2/16/2023,12060681
2/17/2020,9
2/17/2021,3561327
2/17/2022,8886498
2/17/2023,12062858
2/18/2020,10
2/18/2021,3568734
2/18/2022,8894013
2/18/2023,12062974
2/19/2020,10
2/19/2021,3576426
2/19/2022,8897391
2/19/2023,12063066
2/2/2020,3
2/2/2021,3409001
2/2/2022,8513146
2/2/2023,12009956
2/20/2020,10
2/20/2021,3583985
2/20/2022,8900179
2/20/2023,12063166
2/21/2020,10
2/21/2021,3589116
2/21/2022,8923481
2/21/2023,12074388
2/22/2020,10
2/22/2021,3593197
2/22/2022,8933113
2/22/2023,12074416
2/23/2020,10
2/23/2021,3599267
2/23/2022,8943068
2/23/2023,12084289
2/24/2020,11
2/24/2021,3605302
2/24/2022,8956876
2/24/2023,12086033
2/25/2020,12
2/25/2021,3611326
2/25/2022,8961205
2/25/2023,12086041
2/26/2020,13
2/26/2021,3617392
2/26/2022,8963499
2/26/2023,12086049
2/27/2020,13
2/27/2021,3622725
2/27/2022,8974245
2/27/2023,12086073
2/28/2020,13
2/28/2021,3626629
2/28/2022,8982134
2/28/2023,12097613
2/29/2020,13
2/3/2020,6
2/3/2021,3422935
2/3/2022,8564343
2/3/2023,12012435
2/4/2020,6
2/4/2021,3437545
2/4/2022,8586696
2/4/2023,12012579
2/5/2020,6
2/5/2021,3451272
2/5/2022,8597205
2/5/2023,12012750
2/6/2020,6
2/6/2021,3466348
2/6/2022,8631124
2/6/2023,12015243
2/7/2020,6
2/7/2021,3477879
2/7/2022,8677323
2/7/2023,12022003
2/8/2020,6
2/8/2021,3487269
2/8/2022,8749154
2/8/2023,12022297
2/9/2020,6
2/9/2021,3497033
2/9/2022,8763025
2/9/2023,12033690
3/1/2020,19
3/1/2021,3629660
3/1/2022,8986444
3/1/2023,12097613
3/10/2020,158
3/10/2021,3667909
3/10/2022,9032549
3/11/2020,183
3/11/2021,3671787
3/11/2022,9035262
3/12/2020,226
3/12/2021,3676385
3/12/2022,9036885
3/13/2020,279
3/13/2021,3678466
3/13/2022,9042036
3/14/2020,335
3/14/2021,3681073
3/14/2022,9046862
3/15/2020,374
3/15/2021,3682738
3/15/2022,9048693
3/16/2020,533
3/16/2021,3685330
3/16/2022,9052399
3/17/2020,617
3/17/2021,3688688
3/17/2022,9058542
3/18/2020,793
3/18/2021,3692267
3/18/2022,9062746
3/19/2020,983
3/19/2021,3695629
3/19/2022,9066002
3/2/2020,23
3/2/2021,3633921
3/2/2022,8993487
3/2/2023,12107856
3/20/2020,1244
3/20/2021,3699053
3/20/2022,9070661
3/21/2020,1396
3/21/2021,3701189
3/21/2022,9076160
3/22/2020,1697
3/22/2021,3703302
3/22/2022,9079164
3/23/2020,2073
3/23/2021,3705505
3/23/2022,9083107
3/24/2020,2501
3/24/2021,3708305
3/24/2022,9086657
3/25/2020,3013
3/25/2021,3711174
3/25/2022,9088617
3/26/2020,3879
3/26/2021,3714701
3/26/2022,9089652
3/27/2020,4549
3/27/2021,3717806
3/27/2022,9093036
3/28/2020,7514
3/28/2021,3720238
3/28/2022,9095847
3/29/2020,5495
3/29/2021,3722513
3/29/2022,9097693
3/3/2020,29
3/3/2021,3638297
3/3/2022,9000996
3/3/2023,12110179
3/30/2020,6864
3/30/2021,3724672
3/30/2022,9101478
3/31/2020,8011
3/31/2021,3727253
3/31/2022,9106011
3/4/2020,40
3/4/2021,3643748
3/4/2022,9004582
3/4/2023,12110179
3/5/2020,50
3/5/2021,3649275
3/5/2022,9006020
