State,Lat,Long,MaxCovid
Texas,31.94854689,-98.55876441,4047
Texas,31.99045053,-97.13423143,10221
Texas,32.04620681,-96.47428766,14507
Texas,32.10773545,-94.76176432,12738
Texas,32.1639596,-94.30552481,5801
Texas,32.21128872,-95.85846587,18557
Texas,32.22236802,-97.77403489,2230
Texas,32.23602653,-98.21773417,10013
Texas,32.29760619,-99.37326312,3508
Texas,32.30163422,-99.89007449,40969
Texas,32.30365282,-100.4060208,3569
Texas,32.30468633,-102.6376548,5093
Texas,32.30600051,-101.9513518,1412
Texas,32.30621324,-101.4356444,8056
Texas,32.30623474,-100.9212058,2122
Texas,32.32743996,-98.83243566,3433
Texas,32.34894117,-96.79371841,57881
Texas,32.37474036,-95.2717568,57251
Texas,32.37877812,-97.36615819,52246
Texas,32.42990927,-97.83242024,15046
Texas,32.47940482,-94.81591935,27227
Texas,32.54935988,-94.36934071,15858
Texas,32.56483801,-95.83766469,12787
Texas,32.5991417,-96.28734728,42740
Texas,32.73553157,-98.83631615,2138
Texas,32.73587756,-99.35401337,1101
Texas,32.73706798,-94.93999853,9110
Texas,32.73997145,-99.87861576,5359
Texas,32.74055318,-102.6353295,2403
Texas,32.74255572,-101.9477242,3589
Texas,32.74281316,-100.4019302,736
Texas,32.74363984,-101.4316509,124
Texas,32.74613808,-100.9162664,6167
Texas,32.75310985,-98.31319001,8074
Texas,32.76670599,-96.7779605,696583
Texas,32.77143818,-97.29101614,687595
Texas,32.77757172,-97.80500621,40456
Texas,32.78722382,-95.38236368,9832
Texas,32.79868409,-94.3566123,2041
Texas,32.87109387,-95.79232691,2274
Texas,32.89779518,-96.40771592,31784
Texas,32.97195142,-94.97790104,3600
Texas,33.07499881,-94.34646905,8936
Texas,33.11304005,-94.73255695,3028
Texas,33.12351514,-96.08551032,19874
Texas,33.14875072,-95.56351139,8749
Texas,33.17320212,-102.8276433,1648
Texas,33.17402785,-102.3354521,2943
Texas,33.17653242,-95.21917243,2675
Texas,33.17657705,-101.8162849,1706
Texas,33.17659707,-98.68790885,4499
Texas,33.17751417,-99.21226795,297
Texas,33.17823584,-99.73037358,1133
Texas,33.17906744,-100.2538401,424
Texas,33.17969345,-101.2984114,1506
Texas,33.18104136,-100.7780939,223
Texas,33.18820114,-96.57264368,276773
Texas,33.20521901,-97.11691153,224101
Texas,33.21339719,-94.96797273,10313
Texas,33.21570665,-97.65460265,19687
Texas,33.23377248,-98.17283469,1667
Texas,33.38570922,-95.66921122,2070
Texas,33.44626922,-94.41834132,24695
Texas,33.59564294,-96.10751083,8129
Texas,33.60425307,-102.8284499,1040
Texas,33.60519951,-99.7422906,656
Texas,33.60771256,-102.3431676,9445
Texas,33.61008596,-101.8204789,113683
Texas,33.61431553,-101.3000364,2311
Texas,33.61569967,-98.68754589,2646
Texas,33.61616822,-100.7788855,522
Texas,33.61640794,-99.21352901,937
Texas,33.61643847,-100.2558057,56
Texas,33.61886692,-95.04841765,2772
Texas,33.62744998,-96.67753461,31791
Texas,33.63979567,-97.21240912,8575
Texas,33.66981763,-95.57404777,12051
Texas,33.67521893,-97.72500958,5412
Texas,33.78686685,-98.20771198,2533
Texas,33.97308618,-99.7767797,254
Texas,33.98842886,-98.7041034,41356
Texas,34.06854817,-102.8299707,1763
Texas,34.06859623,-102.3516289,5222
Texas,34.07044901,-101.8268114,8499
Texas,34.07227468,-101.3031546,2362
Texas,34.07408766,-100.779722,325
Texas,34.07783319,-100.2785062,392
Texas,34.07945812,-99.24178437,4264
Texas,34.28944521,-99.74632408,650
Texas,34.5293041,-100.2077916,3056
Texas,34.52993409,-102.7844668,2689
Texas,34.53016752,-102.2617243,2811
Texas,34.53026962,-101.2084947,583
Texas,34.53028891,-101.7349174,2690
Texas,34.5307555,-100.6813852,1310
Texas,34.96489496,-100.2700111,898
Texas,34.96507426,-101.3574874,696
Texas,34.96517499,-100.8140093,1327
Texas,34.96522957,-102.6054267,5833
Texas,34.96585996,-101.8971322,29975
Texas,35.40081878,-100.8129222,7119
Texas,35.40114335,-100.2699514,1354
Texas,35.40133773,-101.893964,43535
Texas,35.40365929,-101.3542669,1753
Texas,35.40425596,-102.6027606,650
Texas,35.83764858,-100.2703577,1482
Texas,35.83769242,-101.8930281,6348
Texas,35.83809685,-100.813175,197
Texas,35.84006574,-101.3546643,7653
Texas,35.84008013,-102.6029022,1503
Texas,36.27743284,-101.3545796,2337
Texas,36.27751473,-101.8933156,540
Texas,36.27783108,-100.2733151,811
Texas,36.27787176,-102.6020725,2446
Texas,36.27829105,-100.8158184,2674
